rank,title,studio,gross,year
337,The Mummy,Uni.,155385488.0,1999
338,Snow White and the Huntsman,Uni.,155332381.0,2012
339,San Andreas,WB (NL),155190832.0,2015
340,Fast and Furious,Uni.,155064265.0,2009
341,Over the Hedge,P/DW,155019340.0,2006
342,Fantastic Four (2005),Fox,154696080.0,2005
343,Dr. Seuss' Horton Hears a Who!,Fox,154529439.0,2008
344,Mad Max: Fury Road,WB,154058340.0,2015
345,Jerry Maguire,Sony,153952592.0,1996
346,Trolls,Fox,153707064.0,2016
347,Beverly Hills Cop II,Par.,153665036.0,1987
348,Scooby-Doo,WB,153294164.0,2002
349,Gremlins,WB,153083102.0,1984
350,Cars 3,BV,152901115.0,2017
351,Sex and the City,WB (NL),152647258.0,2008
352,Runaway Bride,Par.,152257509.0,1999
353,La La Land,LG/S,151101803.0,2016
354,Divergent,LG/S,150947895.0,2014
355,Rambo: First Blood Part II,TriS,150415432.0,1985
356,We're the Millers,WB (NL),150394119.0,2013
357,Terminator 3: Rise of the Machines,WB,150371112.0,2003
358,Daddy's Home,Par.,150357137.0,2015
359,G.I. Joe: The Rise of Cobra,Par.,150201498.0,2009
360,Neighbors,Uni.,150157400.0,2014
361,American Hustle,Sony,150117807.0,2013
362,Puss in Boots,P/DW,149260504.0,2011
363,Les Miserables (2012),Uni.,148809770.0,2012
364,Knocked Up,Uni.,148768917.0,2007
365,As Good as It Gets,Sony,148478011.0,1997
366,Little Fockers,Uni.,148438600.0,2010
367,Megamind,P/DW,148415853.0,2010
368,Hotel Transylvania,Sony,148313048.0,2012
369,Talladega Nights: The Ballad of Ricky Bobby,Sony,148213377.0,2006
370,Gran Torino,WB,148095302.0,2008
371,Lethal Weapon 2,WB,147253986.0,1989
372,War for the Planet of the Apes,Fox,146880162.0,2017
373,X-Men: First Class,Fox,146408305.0,2011
374,Paul Blart: Mall Cop,Sony,146336178.0,2009
375,True Lies,Fox,146282411.0,1994
376,Lilo & Stitch,BV,145794338.0,2002
377,The Meg,WB,145443742.0,2018
378,American Pie 2,Uni.,145103595.0,2001
379,Taken,Fox,145000989.0,2009
380,101 Dalmatians,Dis.,144880014.0,1961
381,The Great Gatsby (2013),WB,144840419.0,2013
382,The Santa Clause,BV,144833357.0,1994
383,"I, Robot",Fox,144801023.0,2004
384,Lethal Weapon 3,WB,144731527.0,1992
385,The Fast and the Furious,Uni.,144533925.0,2001
386,Mamma Mia!,Uni.,144169664.0,2008
387,Doctor Dolittle,Fox,144156605.0,1998
388,Rio,Fox,143619809.0,2011
389,Kung Fu Panda 3,Fox,143528619.0,2016
390,Juno,FoxS,143495265.0,2007
391,Marley and Me,Fox,143153751.0,2008
392,The Smurfs,Sony,142614158.0,2011
393,XXX,SonR,142109382.0,2002
394,The Jungle Book,Dis.,141843612.0,1967
395,The Chronicles of Narnia: Prince Caspian,BV,141621490.0,2008
396,National Lampoon's Animal House,Uni.,141600000.0,1978
397,Pocahontas,BV,141579773.0,1995
398,A Few Good Men,Col.,141340178.0,1992
399,Slumdog Millionaire,FoxS,141319928.0,2008
400,Rush Hour,NL,141186864.0,1998
401,The Blair Witch Project,Art.,140539099.0,1999
402,Deep Impact,Par.,140464664.0,1998
403,Ocean's 8,WB,140218711.0,2018
404,Rush Hour 3,NL,140125968.0,2007
405,Look Who's Talking,TriS,140088813.0,1989
406,Stuart Little,Sony,140035367.0,1999
407,Taken 2,Fox,139854287.0,2012
408,Sister Act,BV,139605150.0,1992
409,The Matrix Revolutions,WB,139313948.0,2003
410,The Santa Clause 2,BV,139236327.0,2002
411,The King's Speech,Wein.,138797449.0,2010
412,Cheaper by the Dozen,Fox,138614544.0,2003
413,Bad Boys II,Sony,138608444.0,2003
414,Platoon,Orion,138530565.0,1986
415,21 Jump Street,Sony,138447667.0,2012
416,Good Will Hunting,Mira.,138433435.0,1997
417,Split,Uni.,138291365.0,2017
418,A Christmas Carol (2009),BV,137855863.0,2009
419,Dinosaur,BV,137748063.0,2000
420,Ready Player One,WB,137690172.0,2018
421,The Conjuring,WB (NL),137400141.0,2013
422,Click,SonR,137355633.0,2006
423,The Green Mile,WB,136801374.0,1999
424,Ransom,BV,136492681.0,1996
425,Godzilla,Sony,136314294.0,1998
426,101 Dalmatians (1996),BV,136189294.0,1996
427,Argo,WB,136025503.0,2012
428,Anger Management,SonR,135645823.0,2003
429,Chicken Little,BV,135386665.0,2005
430,Teenage Mutant Ninja Turtles,NL,135265915.0,1990
431,Close Encounters of the Third Kind,Col.,135189114.0,1977
432,Patch Adams,Uni.,135026902.0,1998
433,The Godfather,Par.,134966411.0,1972
434,Ride Along,Uni.,134938200.0,2014
435,The Incredible Hulk,Uni.,134806913.0,2008
436,Live Free or Die Hard,Fox,134529403.0,2007
437,Wanted,Uni.,134508551.0,2008
438,Identity Thief,Uni.,134506920.0,2013
439,Superman,WB,134451603.0,1978
440,The Rock,BV,134069511.0,1996
441,Mission: Impossible III,Par.,134029801.0,2006
442,Grown Ups 2,Sony,133668525.0,2013
443,Troy,WB,133378256.0,2004
444,Angels & Demons,Sony,133375846.0,2009
445,Alvin and the Chipmunks: Chipwrecked,Fox,133110742.0,2011
446,Bringing Down the House,BV,132716677.0,2003
447,The Wolverine,Fox,132556852.0,2013
448,Wonder,LGF,132422809.0,2017
449,The Departed,WB,132384315.0,2006
450,Hulk,Uni.,132177234.0,2003
451,Silver Linings Playbook,Wein.,132092958.0,2012
452,Minority Report,Fox,132072926.0,2002
453,Fantastic Four: Rise of the Silver Surfer,Fox,131921738.0,2007
454,The Last Airbender,Par.,131772187.0,2010
455,Rio 2,Fox,131538435.0,2014
456,Lara Croft: Tomb Raider,Par.,131168070.0,2001
457,The Silence of the Lambs,Orion,130742922.0,1991
458,"Honey, I Shrunk the Kids",BV,130724172.0,1989
459,The Flintstones,Uni.,130531208.0,1994
460,Lethal Weapon 4,WB,130444603.0,1998
461,Get Smart,WB,130319208.0,2008
462,The Divergent Series: Insurgent,LG/S,130179072.0,2015
463,The Peanuts Movie,Fox,130178411.0,2015
464,Transformers: The Last Knight,Par.,130168683.0,2017
465,American Gangster,Uni.,130164645.0,2007
466,American Beauty,DW,130096601.0,1999
467,An Officer and a Gentleman,Par.,129795554.0,1982
468,The Ring,DW,129128133.0,2002
469,The Nutty Professor (1996),Uni.,128814019.0,1996
470,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox,128505958.0,2006
471,Ghostbusters (2016),Sony,128350574.0,2016
472,Kingsman: The Secret Service,Fox,128261724.0,2015
473,Robots,Fox,128200012.0,2005
474,Coming to America,Par.,128152301.0,1988
475,"Crouching Tiger, Hidden Dragon",SPC,128078872.0,2000
476,Shutter Island,Par.,128012934.0,2010
477,Into the Woods,BV,128002372.0,2014
478,Rocky IV,UA,127873716.0,1985
479,Enchanted,BV,127807262.0,2007
480,The Curious Case of Benjamin Button,Par.,127509326.0,2008
481,Central Intelligence,WB (NL),127440871.0,2016
482,Anchorman 2: The Legend Continues,Par.,127352707.0,2013
483,Sweet Home Alabama,BV,127223418.0,2002
484,Bumblebee,Par.,127195589.0,2018
485,Dumb and Dumber,NL,127175374.0,1994
486,2 Fast 2 Furious,Uni.,127154901.0,2003
487,Shazam!,WB (NL),127149727.0,2019
488,My Best Friend's Wedding,Sony,127120029.0,1997
489,Super 8,Par.,127004179.0,2011
490,The World Is Not Enough,MGM,126943684.0,1999
491,Sleepless in Seattle,TriS,126808165.0,1993
492,Smokey and the Bandit,Uni.,126737428.0,1977
493,Lucy,Uni.,126663600.0,2014
494,The Legend of Tarzan,WB,126643061.0,2016
495,Bee Movie,P/DW,126631277.0,2007
496,Prometheus,Fox,126477084.0,2012
497,Safe House,Uni.,126373434.0,2012
498,Mr. Deeds,Sony,126293452.0,2002
499,The Truman Show,Par.,125618201.0,1998
500,Erin Brockovich,Uni.,125595205.0,2000
501,Ocean's Twelve,WB,125544280.0,2004
502,Terminator Salvation,WB,125322469.0,2009
503,Charlie's Angels,Sony,125305545.0,2000
504,Tomorrow Never Dies,MGM,125304276.0,1997
505,Lone Survivor,Uni.,125095601.0,2013
506,Sully,WB,125070033.0,2016
507,Rocky III,UA,125049125.0,1982
508,The Vow,SGem,125014030.0,2012
509,Life of Pi,Fox,124987023.0,2012
510,The Fault in our Stars,Fox,124872350.0,2014
511,Cloudy with a Chance of Meatballs,Sony,124870275.0,2009
512,The Devil Wears Prada,Fox,124740460.0,2006
513,Something's Gotta Give,Sony,124728738.0,2003
514,Traffic,USA,124115725.0,2000
515,The Birdcage,MGM,124060553.0,1996
516,City Slickers,Col.,124033791.0,1991
517,"Good Morning, Vietnam ",BV,123922370.0,1987
518,Rango,Par.,123477607.0,2011
519,The Nutty Professor II: The Klumps,Uni.,123309890.0,2000
520,The Good Dinosaur,BV,123087120.0,2015
521,G.I. Joe: Retaliation,Par.,122523060.0,2013
522,Clear and Present Danger,Par.,122187717.0,1994
523,The Hunt for Red October,Par.,122012643.0,1990
524,The Bodyguard,WB,122006740.0,1992
525,Wayne's World,Par.,121697323.0,1992
526,The Bourne Identity,Uni.,121661683.0,2002
527,Superbad,Sony,121463226.0,2007
528,Speed,Fox,121248145.0,1994
529,50 First Dates,Sony,120908074.0,2004
530,Mamma Mia! Here We Go Again,Uni.,120634935.0,2018
531,Mulan,BV,120620254.0,1998
532,Inglourious Basterds,Wein.,120540719.0,2009
533,Seabiscuit,Uni.,120277854.0,2003
534,Van Helsing,Uni.,120177084.0,2004
535,Four Christmases,WB (NL),120146040.0,2008
536,I Now Pronounce You Chuck and Larry,Uni.,120059556.0,2007
537,The Mask,NL,119938730.0,1994
538,Cloudy with a Chance of Meatballs 2,Sony,119793567.0,2013
539,Hook,TriS,119654823.0,1991
540,Blazing Saddles,WB,119601481.0,1974
541,Walk the Line,Fox,119519402.0,2005
542,G-Force,BV,119436770.0,2009
543,Total Recall,Sony,119412921.0,1990
544,On Golden Pond,Uni.,119285432.0,1981
545,The Other Guys,Sony,119219978.0,2010
546,Fahrenheit 9/11,Lions,119194771.0,2004
547,The Sum of All Fears,Par.,118907036.0,2002
548,Hairspray (2007),NL,118871849.0,2007
549,The Break-Up,Uni.,118703275.0,2006
550,Lemony Snicket's A Series of Unfortunate Events,Par.,118634549.0,2004
551,Blades of Glory,P/DW,118594548.0,2007
552,Back to the Future Part II,Uni.,118450002.0,1989
553,Salt,Sony,118311368.0,2010
554,Basic Instinct,TriS,117727224.0,1992
555,Now You See Me,LG/S,117723989.0,2013
556,Big Momma's House,Fox,117559438.0,2000
557,Die Hard 2: Die Harder,Fox,117540947.0,1990
558,Horrible Bosses,WB (NL),117538559.0,2011
559,The Nun,WB (NL),117450119.0,2018
560,Rocky,UA,117235147.0,1976
561,Jackass 3-D,Par.,117229692.0,2010
562,Ocean's Thirteen,WB,117154724.0,2007
563,S.W.A.T.,Sony,116934650.0,2003
564,The Wolf of Wall Street,Par.,116900694.0,2013
565,8 Mile,Uni.,116750901.0,2002
566,Double Jeopardy,Par.,116741558.0,1999
